X,Y
0,-137.5
19.18,-136
35.3,-133.3
57.95,-127.1
90.19,-111.4
120.1,-88.74
132.8,-76.08
147.8,-59.19
164.7,-35.77
174.6,-19.65
181.9,-6.213
193.4,18.35
198.4,31.01
205.3,51.36
210.3,69.4
217.6,105.9
220.3,130.8
221.1,146.9
221.5,176.9
219.2,211.8
215.3,239.1
210,266.3
203.4,291.3
197.3,312
188.5,338.1
180.4,359.6
172.3,378.8
162.4,401
154.7,417.2
143.5,439
135.1,455.5
123.2,477.4
111.7,497.8
87.12,539.6
72.92,564.2
60.64,586.4
46.82,614.5
36.46,639.4
29.55,660.9
24.56,683.5
22.64,698.5
21.49,715
22.25,731.1
24.17,748
27.24,761.5
31.85,775.7
38.37,791
49.12,811
59.49,826.7
72.54,844
109.4,886
138.6,920
165.4,953.8
187.3,985.6
205,1018
214.6,1039
225,1072
235.7,1123
239.5,1178
238.7,1232
234.9,1284
229.9,1322
225.3,1347
214.2,1387
203.4,1415
186.2,1449
171.6,1471
147.4,1500
120.1,1525
96.72,1543
47.2,1574
-2.697,1599
-54.9,1618
-92.51,1627
-116.7,1631
-177.7,1634
-238,1623
-277.1,1610
-332,1585
-383.5,1555
-423.4,1530
-486.3,1490
-544.7,1456
-559.3,1449
-604.2,1432
-630.3,1424
-645.2,1421
-667.5,1419
-703.6,1417
-758.5,1419
-832.9,1426
-876.7,1431
-941.6,1439
-1008,1446
-1074,1452
-1150,1456
-1195,1455
-1235,1452
-1292,1445
-1345,1434
-1393,1419
-1427,1400
-1449,1380
-1459,1364
-1464,1348
-1463,1330
-1459,1313
-1450,1295
-1442,1285
-1413,1252
-1377,1214
-1360,1189
-1353,1165
-1352,1148
-1357,1125
-1373,1102
-1407,1071
-1427,1054
-1451,1025
-1461,991
-1456,970.3
-1450,959.1
-1436,944.6
-1399,920.8
-1378,904.2
-1368,892.7
-1356,868.6
-1350,844
-1350,822.9
-1358,789.9
-1370,768.4
-1390,746.5
-1413,729.2
-1434,712.7
-1445,699.3
-1451,683.5
-1451,662.8
-1443,646.7
-1431,632.1
-1414,619.4
-1393,607.9
-1371,596.4
-1347,579.5
-1330,559.9
-1319,536.9
-1314,513.1
-1314,486.6
-1318,462.8
-1329,436.7
-1343,413.7
-1361,393
-1385,371.9
-1400,358.4
-1418,337.7
-1428,315.8
-1429,289.7
-1420,269
-1404,251.7
-1390,241.4
-1363,227.9
-1323,213.7
-1288,196.4
-1264,174.2
-1251,140.4
-1255,108.2
-1269,80.15
-1287,59.3
-1318,32.93
-1350,8.368
-1375,-14.66
-1394,-41.91
-1404,-65.71
-1408,-90.28
-1404,-105.6
-1399,-111.4
-1388,-119.1
-1374,-123.7
-1350,-125.6
-1333,-126.7
-1298,-129
-1248,-125.2
-1207,-122.9
-1175,-124.8
-1132,-131.3
-1090,-140.2
-1048,-147.5
-1011,-151.7
-970.7,-153.2
-920.8,-147.5
-872.1,-132.9
-812.6,-97.19
-771.9,-51.51
-744.3,-2.763
-717.8,39.08
-705.9,52.13
-687.5,67.48
-661.4,81.3
-631.4,88.59
-590,90.89
-535.1,87.82
-485.2,80.15
-440.3,70.93
-385.4,55.2
-336.3,35.24
-297.9,14.13
-243.4,-22.72
-185,-66.1
-122.8,-105.2
-85.22,-122.1
-44.92,-133.7
-12.68,-137.1
0,-137.5
